,country,site
0,country04,556
1,country04,524
2,country02,563
3,country07,521
4,country05,507
5,country05,552
6,country05,559
7,country07,574
8,country02,540
9,country02,573
10,country06,544
11,country06,595
12,country09,545
13,country05,563
14,country06,582
15,country04,540
16,country02,585
17,country02,560
18,country08,560
19,country07,510
20,country08,575
21,country05,560
22,country06,565
23,country09,514
24,country10,502
25,country06,504
26,country01,582
27,country05,546
28,country06,580
29,country08,501
30,country10,517
31,country05,564
32,country03,512
33,country01,522
34,country02,580
35,country01,553
36,country06,514
37,country02,565
38,country04,555
39,country09,580
40,country01,501
41,country10,530
42,country08,572
43,country09,563
44,country02,598
45,country07,557
46,country02,503
47,country02,538
48,country10,523
49,country06,590
50,country03,541
51,country03,546
52,country06,500
53,country08,506
54,country05,565
55,country07,543
56,country06,546
57,country03,576
58,country06,543
59,country01,543
60,country10,545
61,country01,579
62,country10,523
63,country07,534
64,country06,550
65,country05,539
66,country09,588
67,country07,546
68,country06,519
69,country05,543
70,country08,569
71,country04,513
72,country01,517
73,country04,552
74,country03,526
75,country07,528
76,country08,547
77,country06,530
78,country03,505
79,country04,561
80,country04,534
81,country10,529
82,country10,536
83,country07,592
84,country07,583
85,country02,554
86,country03,506
87,country02,502
88,country09,533
89,country01,577
90,country01,580
91,country05,505
92,country06,512
93,country01,580
94,country06,528
95,country06,572
96,country03,579
97,country04,501
98,country06,562
99,country01,527
100,country09,587
101,country02,503
102,country01,545
103,country06,534
104,country07,522
105,country06,551
106,country04,580
107,country08,518
108,country01,534
109,country03,596
110,country07,506
111,country09,518
112,country01,582
113,country01,546
114,country04,549
115,country08,546
116,country01,573
117,country07,587
118,country05,555
119,country02,587
120,country03,580
121,country05,581
122,country09,542
123,country10,501
124,country02,538
125,country09,500
126,country04,535
127,country05,512
128,country04,501
129,country10,504
130,country03,579
131,country01,525
132,country07,523
133,country06,522
134,country06,556
135,country03,533
136,country02,586
137,country01,510
138,country06,544
139,country09,518
140,country01,526
141,country04,552
142,country06,591
143,country07,551
144,country03,596
145,country04,537
146,country02,586
147,country01,527
148,country02,527
149,country10,539
150,country05,536
151,country08,509
152,country08,529
153,country04,583
154,country04,506
155,country08,542
156,country05,583
157,country04,509
158,country03,501
159,country06,529
160,country03,520
161,country10,521
162,country01,514
163,country10,560
164,country09,592
165,country08,513
166,country01,555
167,country04,549
168,country05,517
169,country03,503
170,country01,538
171,country10,566
172,country04,538
173,country01,535
174,country01,583
175,country06,539
176,country03,552
177,country07,532
178,country01,590
179,country07,523
180,country06,592
181,country03,516
182,country08,552
183,country09,549
184,country02,523
185,country05,555
186,country04,572
187,country01,568
188,country04,579
189,country08,522
190,country05,535
191,country06,571
192,country04,567
193,country06,503
194,country08,565
195,country07,509
196,country05,507
197,country01,578
198,country04,562
199,country02,591
200,country01,552
201,country02,545
202,country04,548
203,country10,538
204,country02,593
205,country04,560
206,country07,590
207,country04,527
208,country04,517
209,country06,538
210,country09,564
211,country02,582
212,country02,560
213,country05,552
214,country07,562
215,country07,594
216,country08,562
217,country09,530
218,country07,551
219,country02,523
220,country06,517
221,country08,551
222,country07,557
223,country07,569
224,country05,538
225,country05,565
226,country09,527
227,country05,569
228,country01,522
229,country01,548
230,country02,543
231,country10,565
232,country09,569
233,country01,540
234,country10,555
235,country02,525
236,country09,510
237,country08,574
238,country08,556
239,country07,562
240,country03,553
241,country06,507
242,country01,569
243,country08,516
244,country06,564
245,country06,538
246,country04,535
247,country02,592
248,country04,522
249,country02,510
250,country09,503
251,country06,577
252,country05,557
253,country05,533
254,country08,590
255,country08,557
256,country03,542
257,country07,580
258,country01,539
259,country03,535
260,country07,535
261,country02,571
262,country07,540
263,country03,518
264,country02,560
265,country10,507
266,country03,502
267,country08,531
268,country05,565
269,country06,587
270,country09,520
271,country04,504
272,country01,573
273,country03,524
274,country01,583
275,country07,509
276,country02,555
277,country09,578
278,country09,567
279,country04,595
280,country10,553
281,country09,570
282,country06,545
283,country01,530
284,country03,555
285,country07,545
286,country05,596
287,country05,532
288,country09,539
289,country06,594
290,country04,506
291,country03,573
292,country08,581
293,country10,555
294,country07,585
295,country03,537
296,country09,581
297,country03,535
298,country05,581
299,country04,534
300,country04,521
301,country07,595
302,country09,527
303,country09,565
304,country06,560
305,country01,500
306,country08,533
307,country10,590
308,country04,511
309,country06,546
310,country01,560
311,country04,508
312,country03,529
313,country05,544
314,country04,597
315,country09,574
316,country02,512
317,country07,529
318,country08,593
319,country04,552
320,country02,510
321,country03,583
322,country09,586
323,country03,570
324,country06,526
325,country04,572
326,country01,534
327,country04,524
328,country04,500
329,country03,530
330,country02,556
331,country02,530
332,country06,590
333,country08,544
334,country03,570
335,country06,524
336,country08,514
337,country03,554
338,country04,523
339,country10,577
340,country10,593
341,country10,514
342,country08,591
343,country05,523
344,country01,578
345,country07,522
346,country07,509
347,country05,540
348,country04,512
349,country07,584
350,country03,569
351,country04,590
352,country10,582
353,country03,509
354,country10,506
355,country10,532
356,country10,512
357,country07,541
358,country06,588
359,country07,520
360,country04,524
361,country05,548
