I zd;II zd;KURS;WKùAD;EWK;Wygrana netto;;wsp kurs¢w;opt wkàad;% zysku / straty;;kwota zysku / straty;
1;1;7,56976;15,00;99,920832;64,92;;1,00;15,00;185%;;64,92;
0;1;10,20272;11,00;98,7623296;63,76;;0,74;11,13;182%;;63,76;
2;1;12,01288;9,00;95,1420096;60,14;;0,63;9,45;172%;;60,14;
1;2;7,56976;;;;;;;;;;
0;2;10,20272;;;;;;;;;;
2;2;12,01288;;;;;;;;;;
;;;;;;;;;;;;
suma wkàadu;;35,00;;;;;;;;;;
minus podatek;;0,88;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;Dodatkowe zd.;;Kurs;Caàkowity dod. kurs;;;;
;;;;;zd;;1,6;3,29;;;;
;;;;;zd;;1,1;;;;;
;;;;;zd;;1,87;;;;;
;;;;;zd;;1;;;;;
;;;;;zd;;1;;;;;
;;;;;zd;;1;;;;;
